area,n_neurons,metric,observed,null_p05,null_median,null_p95,empirical_p_value,analysis
V1,5485,silhouette,0.020978243488508318,-0.049379885259744995,-0.036290743475333204,-0.030310245215749213,0.009900990099009901,all_neurons
V1,5485,classifier,0.988962148962149,0.8057374847374847,0.8146153846153847,0.8234212454212455,0.009900990099009901,all_neurons
AL,414,silhouette,-0.017560271655211353,-0.056311187450035424,-0.04382958200877439,-0.03450607994375383,0.009900990099009901,all_neurons
AL,414,classifier,0.947032967032967,0.7702490842490843,0.788156288156288,0.8036532356532358,0.009900990099009901,all_neurons
LM,1262,silhouette,0.031166198547404794,-0.05546170659790708,-0.038952658707791195,-0.030240561831091674,0.009900990099009901,all_neurons
LM,1262,classifier,0.9801221001221002,0.7903540903540904,0.8035653235653235,0.8191990231990233,0.009900990099009901,all_neurons
RL,1033,silhouette,0.010854919058821808,-0.04741297545645358,-0.03806940257281034,-0.03219261368277608,0.009900990099009901,all_neurons
RL,1033,classifier,0.977899877899878,0.787923076923077,0.8024053724053724,0.8189755799755799,0.009900990099009901,all_neurons
