hash,category,movie_name,n_trials,n_frames_clip
nuErzeul/zd8vRZbsjCj,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),1,75
/igF+5tcscwzY+6LQXwS,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),1,75
mHFJUZe1pOTY0GOpJbse,Cinematic,The Matrix Reloaded (2003),1,75
AYrku8u3LKr/Eu74ZRJC,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),1,75
AF1jF7gTwfiVS5iAIV6P,Cinematic,The Matrix Revolutions (2003),1,75
Y1ppdgFIki6mVK3folO+,Cinematic,Mad Max: Fury Road (2015),1,75
IEbyYbjshqXNW+tQLYVC,Cinematic,The Matrix Reloaded (2003),1,75
UhXlZqypBmb2EBL1Rhjy,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),1,75
X+W0dsQekYLooCp0GFq2,Cinematic,Powaqqatsi: Life in Transformation (1988),1,75
jhscMT1TKG71DgdpPrUy,Cinematic,Powaqqatsi: Life in Transformation (1988),1,75
kUZ3C7/EHgvL5s6oEv6x,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),1,75
ecUQJtcERZJGdqza1k7h,sports1m,2009 Krugers Cross Singlespeed Cyclocross Race - Helmet Cam,10,75
Oup5uAZxF2G7zEJkT+ui,sports1m,2012 USA Basketball vs The Dream Team 1992 USA Basketball - NBA 2K13,10,75
ik5DKO+EInbAGwcH0BfB,sports1m,2011 June 14 Midweek MTB Corner Canyon XC Mountain Bike Race,2,75
dHvGJAD7cN8KboJxFF4/,sports1m,2011 June 14 Midweek MTB Corner Canyon XC Mountain Bike Race,2,75
XoerXglPXrngFUI5uTG6,sports1m,1 of 5 - 2010 ICup 2nd Annual Rock The Canyons XC Mountain Bike Race,2,75
J4PH3ez0PBmcINVwekyF,sports1m,2011 KIA X-GAME Aggressive Inline VERT Final,2,75
n2kq4Nv6UNm4wJbdtuHM,sports1m,2010 WORLDS Justin Ruiz (USA) dec Richard Karelson (EST) 96 kg GR,2,75
APccFaui8xmgaLPZxjAA,sports1m,2011 June 25 USCS Round Valley XC Mountain Bike Race,2,75
hclIiiBW4rID0gjoYwbv,sports1m,14 ª volta ciclistica internacional do grande A B C D 2011 elite,2,75
ZW5GVcDmKHQQrQdljO9u,sports1m,1984 Winter Olympics - Mens Luge 2nd Run - Part 1,2,75
W50xYLSTlUixv1tOfuSJ,sports1m,2011 Boulder Cup Cyclocross Elite Women,2,75
WpAnXD10RC/bdk0t5JIH,sports1m,1 of 5 - 2010 ICup 2nd Annual Rock The Canyons XC Mountain Bike Race,2,75
wE8wskQ2OpXgYdnpm+o0,sports1m,13 Rottenmanner Tauern-Adventure-Race,2,75
O/TPbFEXzCLov05/KwS+,sports1m,2011 June 15 Weekly Race Series Soldier Hollow XC Mountain Bike Race,2,75
18PTv0aCUhaUeL2r9kDd,sports1m,2012 July 10 Midweek MTB Corner Canyon XC Mountain Bike Race (Stabilized),2,75
8IyLxfa6UikBgn/lOdpD,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,2,75
AXD+rrWG8VbV+xLvzwfb,sports1m,2012 May 28 ICUP 7th Annual Stan Crane Memorial XC Mountain Bike Race,2,75
Mg5bLgoNvze3EPLB9rbZ,sports1m,2011 KIA X-GAME Aggressive Inline VERT Final,2,75
pBsrFShgY2qLi+7xYSGi,sports1m,1984 Winter Olympics - Mens Luge 1st run - Part 1,2,75
IPvYT7eXLYJ557HrVPnG,sports1m,1 of 7 - 2010 ICup Utah Open State Championship XC Mountain Bike Race,2,75
VIxFQLvrzWwvLKX9CM5N,sports1m,1995 bmx vert bs contest  mat hoffman bike park okc,2,75
Qtx9ZilPEN9mdem3G1lL,sports1m,2012 July 17 Midweek MTB Deer Valley Silver Lake Lodge XC Race (Stabilized),2,75
yCXacouyIMBJMNQBQeSe,sports1m,2009 Univest Grand Prix Road Race PA,2,75
wrhbg7/9C5fsnGqt95w/,sports1m,2012 UNIV WORLDS Erickson (USA) dec Allikma (EST) 120 kg Greco repechage,2,75
gpu0WyfdPMgXV/xhy6ZP,sports1m,2012 USA Basketball vs The Dream Team 1992 USA Basketball - NBA 2K13,2,75
F5KOXJGuqZljKK9USGu/,sports1m,2010 WORLDS Jake Clark (USA) dec T Tounousidis (GRE) 84 kg GR,2,75
7keiPs7vk9CHNrtDuOxL,sports1m,2012 July 17 Midweek MTB Deer Valley Silver Lake Lodge XC Race (Stabilized),2,75
JzIVwvytTHCEhcYc0EkS,sports1m,2012 UNIV WORLDS Stenberg (USA) dec Sasunouski (BLR) 84 kg Greco bout,2,75
shDuGRZylVmZLCBFIVeP,sports1m,2011 July 23 ICUP Solitude XC Mountain Bike Race,2,75
aedxogPGpb5IiLcjLo8c,sports1m,2012 January 28 Frozen Hog Snow Mountain Bike Race,2,75
3wXTReOQa7mnr6Oz8aUf,sports1m,2012 May 28 ICUP 7th Annual Stan Crane Memorial XC Mountain Bike Race,2,75
