area,n_neurons,metric,observed,null_p05,null_median,null_p95,empirical_p_value,analysis,p_holm,n_tests,n_subsamples_significant,n_subsamples,session
V1,5485,silhouette,0.0209782434885087,-0.0486545243978017,-0.0366907644118584,-0.0302811608818949,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,,7_5
V1,5485,classifier,0.988962148962149,0.8035396825396826,0.8146275946275947,0.8256410256410256,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,,7_5
AL,414,silhouette,-0.0175602716552113,-0.0575171069451965,-0.0422779903934949,-0.0330106813274918,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,,7_5
AL,414,classifier,0.947032967032967,0.7703284493284493,0.7881318681318682,0.8057875457875457,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,,7_5
LM,1262,silhouette,0.0311661985474047,-0.0541589223157502,-0.0393017197735885,-0.0312676689949846,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,,7_5
LM,1262,classifier,0.9801221001221002,0.7902319902319902,0.8035653235653235,0.8189987789987789,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,,7_5
RL,1033,silhouette,0.0108549190588218,-0.0481422422939383,-0.0370137917667261,-0.0309746099727737,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,,7_5
RL,1033,classifier,0.977899877899878,0.7880818070818071,0.8034920634920635,0.8167777777777779,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,,7_5
